city,Operateur,2G,3G,4G
Ouessant,20801,1,1,0
Ouessant,20810,1,1,0
Ouessant,20820,1,1,1
Île-Molène,20801,0,1,1
Île-de-Sein,20801,1,1,0
Le Conquet,20820,1,1,1
Plogoff,20820,1,0,0
Le Conquet,20801,1,1,0
Porspoder,20820,1,1,0
Porspoder,20801,1,1,0
Le Conquet,20810,1,1,1
Plouarzel,20801,1,1,1
Plogoff,20801,1,1,1
Plougonvelin,20820,1,1,1
Plougonvelin,20815,0,1,1
Plougonvelin,20801,1,1,1
Plougonvelin,20810,1,1,0
Plouarzel,20820,1,1,1
Plouarzel,20815,0,1,1
Porspoder,20815,0,1,1
Porspoder,20810,1,1,0
Ploumoguer,20820,1,1,0
Ploumoguer,20801,1,1,1
Plogoff,20820,1,1,0
Plogoff,20810,1,1,0
Plogoff,20815,0,1,1
Plouarzel,20810,1,1,0
Ploudalmézeau,20820,1,1,0
Locmaria-Plouzané,20810,1,1,1
Locmaria-Plouzané,20815,0,1,1
Ploudalmézeau,20820,1,1,1
Ploudalmézeau,20810,1,1,0
Ploudalmézeau,20815,0,1,0
Ploudalmézeau,20801,1,1,1
Locmaria-Plouzané,20801,1,1,1
Plouzané,20801,0,1,1
Saint-Renan,20810,0,1,0
Saint-Renan,20801,0,1,1
Plouzané,20810,1,1,1
Plouzané,20801,1,1,0
Plouzané,20820,1,1,1
Lanrivoaré,20810,1,1,0
Audierne,20810,1,1,0
Milizac-Guipronvel,20820,1,1,1
Plouzané,20801,1,1,1
Milizac-Guipronvel,20815,0,1,1
Plouzané,20815,0,1,1
Camaret-sur-Mer,20820,1,1,1
Camaret-sur-Mer,20801,1,1,0
Camaret-sur-Mer,20810,1,1,0
Camaret-sur-Mer,20815,0,1,0
Saint-Pabu,20810,1,1,0
Saint-Pabu,20820,1,1,0
Plouguin,20815,0,1,0
Plouguin,20820,1,1,1
Plouhinec,20801,1,1,1
Plouhinec,20810,0,1,0
Plouhinec,20820,1,1,0
Plouhinec,20815,0,1,1
Milizac-Guipronvel,20810,1,1,0
Guilers,20820,1,1,1
Guilers,20801,1,1,1
Guilers,20815,0,1,1
Brest,20801,1,1,0
Milizac-Guipronvel,20801,1,1,0
Guilers,20801,1,1,0
Guilers,20810,1,1,0
Crozon,20801,0,1,1
Landéda,20801,1,1,0
Landéda,20820,1,0,0
Brest,20801,0,1,1
Plouhinec,20810,1,1,0
Brest,20810,1,1,1
Plouhinec,20801,1,1,0
Brest,20820,1,1,1
Guilers,20810,1,1,1
Brest,20801,1,1,1
Brest,20820,0,1,0
Brest,20815,0,1,1
Crozon,20810,1,1,0
Crozon,20815,0,1,1
Crozon,20801,1,1,1
Coat-Méal,20810,1,0,0
Lannilis,20810,1,1,1
Brest,20801,1,0,0
Plouguerneau,20820,1,1,0
Lannilis,20801,0,1,0
Crozon,20801,0,0,0
Crozon,20820,1,1,1
Bourg-Blanc,20810,1,1,0
Bourg-Blanc,20820,1,1,0
Lannilis,20801,1,1,1
Plozévet,20820,1,1,0
Plozévet,20815,0,1,1
Plozévet,20810,1,1,0
Brest,20820,0,0,1
Brest,20810,1,1,0
Plozévet,20801,1,1,0
Brest,20820,1,0,0
Plouvien,20801,1,1,0
Brest,20815,0,1,0
Bourg-Blanc,20801,1,1,0
Lannilis,20815,0,1,1
Lannilis,20820,1,1,0
Brest,20820,1,0,1
Brest,20801,0,0,0
Lanvéoc,20801,1,1,0
Brest,20810,1,0,0
Gouesnou,20815,0,1,1
Gouesnou,20820,1,1,1
Confort-Meilars,20801,1,1,0
Gouesnou,20801,1,1,1
Plouguerneau,20801,1,1,1
Plouguerneau,20810,1,1,0
Brest,20810,0,1,0
Brest,20801,0,1,0
Gouesnou,20810,1,1,1
Gouesnou,20801,1,1,0
Penmarch,20801,1,1,1
Plabennec,20810,1,1,1
Plabennec,20801,1,1,0
Guipavas,20801,0,1,0
Plougastel-Daoulas,20820,1,1,1
Plozévet,20820,1,1,1
Guipavas,20810,1,1,1
Guipavas,20801,1,1,0
Penmarch,20820,1,1,1
Penmarch,20810,1,1,1
Plougastel-Daoulas,20810,1,1,1
Penmarch,20801,0,1,1
Plouvien,20820,1,1,1
Plabennec,20801,0,1,0
Le Relecq-Kerhuon,20801,1,1,0
Le Relecq-Kerhuon,20820,1,1,1
Guipavas,20801,1,1,1
Guipavas,20820,1,1,1
Guipavas,20815,0,1,0
Plabennec,20820,1,1,1
Plabennec,20801,1,1,1
Le Relecq-Kerhuon,20801,1,1,1
